BESCHRIJVING DECLARATIE,REFERENTIE FACTUUR,DATUM FACTUUR - extracted,LEVERANCIER - EXTRACTED,BETAALD BEDRAG - extracted from invoice,VALUTA - extracted from invoice,BETAALD BEDRAG - declared ,LEVERANCIER - DECLARED,KOSTENRUBRIEK - declared,DATUM FACTUUR - DECLARED,DECLARATIEDATUM (can be assumed to be close to payment date),FLC: REDEN VERWERPING,double,late,amount,supplier,category,eligible,pred.double,latest,pred.late,pred.amount,pred.supplier,pred.category,pred.eligible
printing and distribution of project brochures,INV-2024-224,2018-05-04,Marketing Printers,416.5157288427398,euro ,416.5157288427398,Marketing Printers,preparation costs,2018-05-04,2018-11-06,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2018-11-04,1,0,0,0,0
accommodation expenses for project team retreat,INV-2024-225,2020-07-20,Retreat Resorts,2575.512992323413,euro ,2575.512992323413,Retreat Resorts,travel costs,2020-07-20,2020-10-03,,0,0,0,0,0,0,0,2021-01-20,0,0,0,0,0
translation services for project documentation,INV-2024-226,2019-06-16,Lingua Translations,1001.889816360371,euro ,1001.889816360371,/,external services,2019-06-16,2019-07-08,please specify the correct supplier,0,0,0,1,0,0,0,2019-12-16,0,0,0,0,0
installation of specialized software,INV-2024-227,2018-02-16,SoftTech Solutions,3162.801325070902,euro ,3162.801325070902,SoftTech Sol.,equipment,2018-02-16,2018-06-06,,0,0,0,0,0,0,0,2018-08-16,0,0,0,0,0
renovation of office space for project team,INV-2024-228,2022-01-08,Office Renovators,4291.611520291229,euro ,4291.611520291229,Office Renovators,infrastructure and building,2022-01-08,2022-05-05,,0,0,0,0,0,0,0,2022-07-08,0,0,0,0,0
hiring a professional grant writer,INV-2024-229,2019-04-29,ABC Grant Consultants,2413.972972974876,dollar,2168.96651539577,ABC Grant Consultants,preparation costs,2019-04-29,2019-05-29,,0,0,0,0,0,0,0,2019-10-29,0,0,0,0,0
printing and binding of project proposal documents,INV-2024-230,2021-02-07,Fluid ink Printing Services,503.2996380703023,euro ,503.2996380703023,Fluid Ink ,preparation costs,2021-02-07,2021-06-11,,0,0,0,0,0,0,0,2021-08-07,0,0,0,0,0
round-trip airfare for attending a project meeting,INV-2024-231,2022-09-24,FlyNow Airlines,839.2660754814685,euro ,839.2660754814685,FlyNow Airlines,travel costs,2022-09-24,2023-02-04,,0,0,0,0,0,0,0,2023-03-24,0,0,0,0,0
taxi fare from airport to hotel,INV-2024-232,2019-05-19,CityCab,52.62769962755225,euro ,52.62769962755225,CityCab,travel costs,2019-05-19,2019-08-31,,0,0,0,0,0,0,0,2019-11-19,0,0,0,0,0
statistical analysis consultancy,INV-2024-233,2019-08-12,Data Insights Ltd.,1636.365676666182,euro ,1636.365676666182,Data Insights Ltd.,external services,2019-08-12,2019-12-01,,0,0,0,0,0,0,0,2020-02-12,0,0,0,0,0
legal consultation for project contract drafting,INV-2024-234,2019-01-27,LegalEagle LLP,1004.044604407889,euro ,1004.044604407889,LegalEagle LLP,external services,2019-01-27,2019-07-18,,0,0,0,0,0,0,0,2019-07-27,0,0,0,0,0
purchase of laboratory equipment,INV-2024-235,2020-03-22,LabTech Supply,3228.394677718517,euro ,3228.394677718517,L.T.S.,equipment,2020-03-22,2020-05-16,,0,0,0,0,0,0,0,2020-09-22,0,0,1,0,0
acquisition of specialized software,INV-2024-236,2022-11-06,Tech Solutions Inc.,1606.198805401837,euro ,1606.198805401837,Tech Solutions Inc.,equipment,2022-11-06,2023-05-25,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2023-05-06,1,0,0,0,0
renovation of lab facilities,INV-2024-237,2018-04-03,BuildIt Construction,5331.498000729591,euro ,5331.498000729591,BuildIt Construction,infrastructure and building,2018-05-03,2018-08-21,,0,0,0,0,0,0,0,2018-11-03,0,0,0,0,0
purchase of construction materials,INV-2024-238,2022-09-29,HomeDepot,1004.260716299187,euro ,1004.260716299187,HomeDepot,infrastructure and building,2022-09-29,2022-11-02,,0,0,0,0,0,0,0,2023-03-29,0,0,0,0,0
research assistant salary for proposal development,INV-2024-239,2021-03-24,ResearchPro Staffing,2709.272870210289,euro ,2709.272870210289,ResearchPro Staffing,preparation costs,2021-03-24,2021-10-09,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-09-24,1,0,0,0,0
train tickets for site visit,INV-2024-240,2021-07-20,RailCo,306.0714997090585,euro ,306.0714997090585,RailCo llc,travel costs,2021-07-20,2021-11-07,,0,0,0,0,0,0,0,2022-01-20,0,0,0,0,0
marketing agency for promotional materials,INV-2024-241,2019-12-09,BrandBoost Marketing,2145.341257078739,euro ,2145.341257078739,BrandBoost Marketing,external services,2019-12-09,2020-03-25,,0,0,0,0,0,0,0,2020-06-09,0,0,0,0,0
purchase of fieldwork equipment,INV-2024-242,2019-12-11,OutdoorGear Ltd.,1312.939473154641,euro ,1312.939473154641,OutdoorGear Ltd.,equipment,2019-12-11,2020-03-07,,0,0,0,0,0,0,0,2020-06-11,0,0,0,0,0
construction of experimental greenhouse,INV-2024-243,2020-01-25,GreenThumb Builders,8222.629151204494,euro ,8222.629151204494,GreenThumb Builders,infrastructure and building,2020-01-25,2020-02-14,,0,0,0,0,0,0,0,2020-07-25,0,0,0,0,0
copywriting and editing services for proposal,INV-2024-244,2020-11-16,ProWrite Editorial,1083.162370218522,euro ,1083.162370218522,ProWrite Editorial,preparation costs,2020-11-16,2020-11-23,,0,0,0,0,0,0,0,2021-05-16,0,0,0,0,0
reimbursement for mileage during project visits,INV-2024-245,2019-05-27,DriveWise,208.6492464484707,euro ,208.6492464484707,DriveWise,travel costs,2019-05-27,2019-06-09,,0,0,0,0,0,0,0,2019-11-27,0,0,0,0,0
translation services for project documentation,INV-2024-246,2019-07-10,LinguaTrans Global,839.8579235752487,euro ,839.8579235752487,LinguaTrans Global,external services,2019-07-10,2019-07-31,,0,0,0,0,0,0,0,2020-01-10,0,0,0,0,0
acquisition of high-performance computing server,INV-2024-247,2022-07-01,DataCenter Solutions,5374.006264622447,euro ,5374.006264622447,Verizon,equipment,2022-07-01,2022-08-21,please specify the correct supplier,0,0,0,1,0,0,0,2023-01-01,0,0,1,0,0
purchase of lab benches and workstations,INV-2024-248,2022-10-02,LabFurnish,1629.17497644848,euro ,1629.17497644848,LabFurnish,infrastructure and building,2022-10-02,2022-10-21,,0,0,0,0,0,0,0,2023-04-02,0,0,0,0,0
graphic design services for project proposal visuals,INV-2024-249,2021-12-08,CreativeWorks Studio,739.9473943574463,euro ,739.9473943574463,CreativeWorks Studio,preparation costs,2021-12-08,2021-12-19,,0,0,0,0,0,0,0,2022-06-08,0,0,0,0,0
accommodation expenses for attending a project workshop,INV-2024-250,2020-10-22,Hotel Luxe,1018.371973176037,euro ,1018.371973176037,Hotel Luxe,travel costs,2020-10-22,2021-01-26,,0,0,0,0,0,0,0,2021-04-22,0,0,0,0,0
environmental impact assessment consultancy,INV-2024-251,2019-12-29,EcoConsult,3269.054652338475,euro ,3269.054652338475,EcoConsult,external services,2019-12-29,2020-02-14,,0,0,0,0,0,0,0,2020-06-29,0,0,0,0,0
purchase of specialized laboratory glassware,INV-2024-252,2018-12-04,GlassTech Supplies,879.0423943654603,euro ,879.0423943654603,GlassTech Supplies,equipment,2018-12-04,2019-01-13,,0,0,0,0,0,0,0,2019-06-04,0,0,0,0,0
installation of solar panels for sustainable energy,INV-2024-253,2022-07-15,Solar Solutions,7381.715789379105,euro ,7381.715789379105,Solar Solutions,infrastructure and building,2022-07-15,2022-11-29,,0,0,0,0,0,0,0,2023-01-15,0,0,0,0,0
salary for project coordinator during proposal development,INV-2024-254,2019-08-10,Project Management Co.,3221.876890542252,euro ,3221.876890542252,Project Management Co.,preparation costs,2019-08-10,2019-10-27,,0,0,0,0,0,0,0,2020-02-10,0,0,0,0,0
rental car for on-site project inspections,INV-2024-255,2018-02-05,Rent-A-Ride,402.0747954893995,euro ,402.0747954893995,Rent-A-Ride,travel costs,2018-02-05,2018-06-26,,0,0,0,0,0,0,0,2018-08-05,0,0,0,0,0
copyediting and proofreading services for project reports,INV-2024-256,2018-02-15,Wordsmith Editorial,629.2022919855641,euro ,629.2022919855641,Wordsmith Editorial,external services,2018-02-15,2018-06-16,,0,0,0,0,0,0,0,2018-08-15,0,0,0,0,0
procurement of field recording equipment,INV-2024-257,2020-08-13,SoundTech Ltd.,1527.135021488129,euro ,1527.135021488129,SoundTech Ltd.,equipment,2020-08-13,2021-02-04,,0,0,0,0,0,0,0,2021-02-13,0,0,0,0,0
purchase of laboratory fume hoods,INV-2024-258,2019-05-21,FumeGuard Systems,2032.439805872712,euro ,2032.439805872712,FumeGuard Systems,infrastructure and building,2019-05-21,2019-06-15,,0,0,0,0,0,0,0,2019-11-21,0,0,0,0,0
subscription fees for accessing research databases,INV-2024-259,2018-12-31,ScienceHub,523.7317112611602,euro ,523.7317112611602,Science-Hub,preparation costs,2018-12-31,2019-07-09,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2019-06-30,1,0,0,0,0
bus fare for attending project consortium meetings,25901,2020-03-27,Metro Transit,105.7277148070975,euro ,105.7277148070975,MetroTransit,travel costs,2020-03-27,2020-07-22,,0,0,0,0,0,0,0,2020-09-27,0,0,1,0,0
engineering consultancy for prototype development,1235,2020-04-23,TechPro Engineering,4249.423689022604,euro ,4249.423689022604,TechPro Engineering,external services,2020-04-23,2020-11-02,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-10-23,1,0,0,0,0
acquisition of digital microscopes,2456,2019-11-08,Microscope World,2677.947750618382,euro ,2677.947750618382,Microscope World,equipment,2019-11-08,2020-01-21,,0,0,0,0,0,0,0,2020-05-08,0,0,0,0,0
renovation of office space for project team,3789,2021-02-07,OfficeRevamp,3114.691461256901,euro ,3114.691461256901,OfficeRevamp,infrastructure and building,2021-02-07,2021-08-19,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-08-07,1,0,0,0,0
printing and postage costs for project information packs,4512,2020-11-21,MailMasters,416.1062932481454,euro ,416.1062932481454,Preparation costs,preparation costs,2020-11-21,2020-12-04,please specify the correct supplier,0,0,0,1,0,0,0,2021-05-21,0,0,1,0,0
per diem for project team during international conference,5678,2020-09-26,GlobalTravel Services,1599.058587679018,euro ,1599.058587679018,GlobalTravel Services,travel costs,2020-09-26,2020-11-20,,0,0,0,0,0,0,0,2021-03-26,0,0,0,0,0
patent attorney fees for intellectual property protection,6789,2019-09-06,PatentPro Legal Services,3699.505620020012,euro ,3699.505620020012,PatentPro Legal Services,external services,2019-09-06,2019-11-28,,0,0,0,0,0,0,0,2020-03-06,0,0,0,0,0
purchase of field gps devices,7890,2022-11-30,GeoTech Supplies,1823.624171705147,euro ,1823.624171705147,GeoTech ,equipment,2022-11-30,2023-04-04,,0,0,0,0,0,0,0,2023-05-30,0,0,0,0,0
installation of laboratory plumbing fixtures,8901,2019-12-11,PipePro Plumbing,1315.661182720592,euro ,1315.661182720592,PipePro Plumbing,infrastructure and building,2019-12-11,2020-05-08,,0,0,0,0,0,0,0,2020-06-11,0,0,0,0,0
development of project website,9234,2019-11-20,WebWizards,2160.366420887292,euro ,2160.366420887292,WebWizards,preparation costs,2019-11-20,2020-05-11,,0,0,0,0,0,0,0,2020-05-20,0,0,0,1,0
parking fees during project site visits,10345,2020-09-05,ParkEasy,53.39156351112272,euro ,53.39156351112272,parking fees,travel costs,2020-09-05,2021-03-07,"please specify the correct supplier | costs that are declared too late, can only be reimbursed for 50%",0,1,0,1,0,0,0,2021-03-05,1,0,1,0,0
cultural sensitivity training for project team,11456,2018-02-10,CultureSense Training,1056.806792632941,euro ,1056.806792632941,CultureSense Training,external services,2018-02-10,2018-06-18,,0,0,0,0,0,0,0,2018-08-10,0,0,0,0,0
acquisition of specialized software licenses,12567,2021-09-13,SoftwareSolutions Inc.,3246.468176375899,euro ,3246.468176375899,SoftwareSolutions Inc.,equipment,2021-09-13,2021-11-29,,0,0,0,0,0,0,0,2022-03-13,0,0,0,0,0
purchase of greenhouse materials,13678,2020-09-03,GreenLife Supplies,1634.678250498262,euro ,1634.678250498262,GreenLife Supplies,infrastructure and building,2020-09-03,2021-03-11,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2021-03-03,1,0,0,0,0
printing and distribution of project brochures,14789,2020-08-13,BrochurePros,653.8128277092719,euro ,653.8128277092719,BrochurePros,preparation costs,2020-08-13,2020-09-21,,0,0,0,0,0,0,0,2021-02-13,0,0,0,0,0
airfare for attending project kick-off meeting,15890,2019-03-19,SkyHigh Airlines,1224.207725432546,euro ,1224.207725432546,SkyHigh Airlines,travel costs,2019-03-19,2019-09-29,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2019-09-19,1,0,0,0,0
regulatory compliance consultancy for project,16901,2022-04-02,Regulatron Consulting,2654.940920882889,euro ,2654.940920882889,Regulatron Consulting,external services,2022-04-02,2022-10-13,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-10-02,1,0,0,0,0
purchase of laboratory centrifuge,17123,2020-01-02,CentriTech,2075.817326187554,euro ,2075.817326187554,CentriTech,equipment,2020-01-02,2020-03-12,,0,0,0,0,0,0,0,2020-07-02,0,0,0,0,0
construction of project research facility,18234,2020-06-29,BuildMaster Construction,10269.13759999089,euro ,10269.13759999089,BuildMaster Construction,infrastructure and building,2020-06-29,2020-08-29,,0,0,0,0,0,0,0,2020-12-29,0,0,0,0,0
hiring a project management consultant,19345,2021-10-05,ProjectPlus Consulting,4030.445345557973,euro ,4030.445345557973,ProjectPlus Consulting,preparation costs,2021-10-05,2022-01-31,,0,0,0,0,0,0,0,2022-04-05,0,0,0,0,0
rental fees for project equipment,20456,2019-09-22,RentTech,815.4069015791596,euro ,815.4069015791596,RentTech,travel costs,2019-09-22,2019-12-28,,0,0,0,0,0,0,0,2020-03-22,0,0,0,0,0
public relations services for project promotion,21567,2021-10-31,PR Powerhouse,1846.518331845828,euro ,1846.518331845828,PR Powerhouse,external services,2021-10-31,2022-03-22,,0,0,0,0,0,0,0,2022-04-30,0,0,0,0,0
acquisition of fieldwork drones,22678,2021-11-19,DroneTech,3227.660329103097,euro ,3227.660329103097,DroneTech,equipment,2021-11-19,2022-05-08,,0,0,0,0,0,0,0,2022-05-19,0,0,0,0,0
purchase of construction tools,23789,2020-12-30,ToolBox Supplies,604.7825958270263,euro ,604.7825958270263,ToolBox Supplies,infrastructure and building,2020-12-30,2021-05-09,,0,0,0,0,0,0,0,2021-06-30,0,0,0,0,0
development of project training materials,24890,2022-07-04,TrainingWorks,1536.874890745099,euro ,1536.874890745099,TrainingWorks,preparation costs,2022-07-04,2022-09-16,,0,0,0,0,0,0,0,2023-01-04,0,0,0,0,0
gasoline expenses for project vehicle,25901,2021-10-17,FuelZone,212.3475319078492,euro ,212.3475319078492,FuelZone,travel costs,2021-10-17,2022-02-16,,0,0,0,0,0,0,0,2022-04-17,0,0,0,0,0
cybersecurity audit for project data protection,1234,2020-07-03,CyberSafe Consulting,3571.013149926938,euro ,3571.013149926938,CyberSafe Consulting,external services,2020-07-03,2020-07-19,,0,0,0,0,0,0,0,2021-01-03,0,0,0,0,0
procurement of laboratory refrigerators,2345,2020-04-13,CoolTech,1219.43629969967,euro ,1219.43629969967,C.T.,equipment,2020-04-13,2020-08-10,,0,0,0,0,0,0,0,2020-10-13,0,0,0,0,0
installation of project signage,3456,2022-05-30,SignCraft,704.6560305756926,euro ,704.6560305756926,SignCraft,infrastructure and building,2022-05-30,2022-07-08,,0,0,0,0,0,0,0,2022-11-30,0,0,0,0,0
subscription fees for access to academic journals,4567,2020-02-21,JournalAccess,801.8045582840834,euro ,801.8045582840834,JournalAccess,preparation costs,2020-02-21,2020-07-28,,0,0,0,0,0,0,0,2020-08-21,0,0,0,0,0
reimbursement for project team's taxi fares,5678,2021-06-30,TaxiEase,305.4412563175906,euro ,305.4412563175906,TaxiEase,travel costs,2021-06-30,2021-11-27,,0,0,0,0,0,0,0,2021-12-30,0,0,0,0,0
socio-economic impact assessment consultancy,6789,2021-09-11,ImpactMetrics,2989.592082178364,euro ,2989.592082178364,ImpactMetrics,external services,2021-09-11,2022-03-08,,0,0,0,0,0,0,0,2022-03-11,0,0,0,0,0
purchase of laboratory glassware,7890,2022-05-07,GlasswareGalore,632.0124498930458,euro ,632.0124498930458,GlasswareGalore,equipment,2022-05-07,2022-05-28,,0,0,0,0,0,0,0,2022-11-07,0,0,0,0,0
construction of project office space,8901,2022-01-18,OfficeConstruct,8199.012375373506,euro ,8199.012375373506,OfficeConstruct,infrastructure and building,2022-01-18,2022-07-30,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-07-18,1,0,0,0,0
training workshop for project team,9012,2018-08-18,TrainingWorks,2179.539999423693,euro ,2179.539999423693,TrainingWorks,preparation costs,2018-08-18,2018-10-02,,0,0,0,0,0,0,0,2019-02-18,0,0,0,1,0
hiring a consultant to conduct market research and draft the project proposal.,10123,2022-04-26,Market Research Ltd.,2589.10993100554,euro ,2589.10993100554,Market Research Ltd.,preparation costs,2022-04-26,2022-08-25,,0,0,0,0,0,0,0,2022-10-26,0,0,0,0,0
plane tickets for team members to attend a project kickoff meeting in brussels.,11234,2022-04-27,Global Airways,1525.466513486132,euro ,1525.466513486132,Global Airways,travel costs,2022-04-27,2022-08-09,,0,0,0,0,0,0,0,2022-10-27,0,0,0,0,0
legal consultation for drafting project contracts and agreements.,12345,2020-02-16,Legal Solutions Inc.,3167.445739350847,euro ,3167.445739350847,Legal Solutions Inc.,external services,2020-02-16,2020-04-21,,0,0,0,0,0,0,0,2020-08-16,0,0,0,0,0
purchase of laboratory equipment for conducting experiments related to project objectives.,13456,2019-02-08,LabTech Supplies,5307.868539820141,euro ,5307.868539820141,LabTech Supplies,equipment,2019-02-08,2019-07-18,,0,0,0,0,0,0,0,2019-08-08,0,0,0,0,0
"renovation of office space to accommodate project team, including partition installation.",14567,2018-10-14,Renovation Experts Ltd.,8464.647991396605,euro ,8464.647991396605,Renovation Experts Ltd.,infrastructure and building,2018-10-14,2019-04-06,,0,0,0,0,0,0,0,2019-04-14,0,0,0,0,0
payment for software subscription used in developing project proposal.,15678,2020-03-11,TechTools Inc.,1288.666427112143,euro ,1288.666427112143,TechTools Inc.,preparation costs,2020-03-11,2020-04-04,,0,0,0,0,0,0,0,2020-09-11,0,0,0,0,0
rental car for site visits and project inspections.,16789,2020-06-22,Rent-A-Car Company,759.4012154730107,euro ,759.4012154730107,Rent-A-Car Company,travel costs,2020-06-22,2020-07-20,,0,0,0,0,0,0,0,2020-12-22,0,0,0,0,0
hiring an environmental consultant for impact assessment studies.,17890,2022-04-14,EcoConsulting Solutions,4524.739702453759,euro ,4524.739702453759,EcoConsulting Solutions,external services,2022-04-14,2022-09-13,,0,0,0,0,0,0,0,2022-10-14,0,0,0,0,0
purchase of specialized manufacturing machinery for prototype development.,18901,2020-03-07,Machinex Industries,10919.42443558709,euro ,10919.42443558709,Machinex Industries,equipment,2020-03-07,2020-03-16,,0,0,0,0,0,0,0,2020-09-07,0,0,0,0,0
construction of a dedicated laboratory facility for project experimentation.,19012,2022-04-04,BuildIt Construction,20985.9490623159,euro ,20985.9490623159,BuildIt Construction,infrastructure and building,2022-04-03,2022-07-02,,0,0,0,0,0,0,0,2022-10-03,0,0,0,0,0
payment for professional graphic design services for project proposal visuals.,20123,2019-02-15,DesignHub Graphics,1559.239894587623,euro ,1559.239894587623,DesignHub Graphics,preparation costs,2019-02-15,2019-06-11,,0,0,0,0,0,0,0,2019-08-15,0,0,0,0,0
train tickets for team members attending a project coordination meeting in paris.,21234,2022-06-03,EuroRail,963.3939441738607,euro ,963.3939441738607,EuroRail,travel costs,2022-06-03,2022-10-17,,0,0,0,0,0,0,0,2022-12-03,0,0,0,0,0
hiring a data analytics firm for statistical analysis of project data.,22345,2018-12-22,Data Insights Ltd.,6112.096596339451,euro ,6112.096596339451,Data Insights Ltd.,external services,2018-12-22,2019-03-12,,0,0,0,0,0,0,0,2019-06-22,0,0,0,0,0
purchase of electronic components for building project prototypes.,23456,2020-04-19,Circuitry Supplies,3037.330240357044,euro ,3037.330240357044,Circuitry Supplies,equipment,2020-04-19,2020-07-04,,0,0,0,0,0,0,0,2020-10-19,0,0,0,0,0
purchase of construction materials for building project demonstration site.,24567,2021-08-19,ConstructionMart,5236.412235523901,euro ,5236.412235523901,ConstructionMart,infrastructure and building,2021-08-19,2022-03-07,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2022-02-19,1,0,0,0,0
payment for language editing services for project proposal documentation.,25678,2019-01-02,Linguistic Solutions,847.7598970741001,euro ,847.7598970741001,Linguistic Solutions,preparation costs,2019-01-02,2019-01-16,,0,0,0,0,0,0,0,2019-07-02,0,0,0,0,0
reimbursement for parking fees during project site visits.,INV-001,2018-10-18,Parking Services Ltd.,204.7079737528954,euro ,204.7079737528954,Parking Services Ltd.,travel costs,2018-10-18,2019-04-11,,0,0,0,0,0,0,0,2019-04-18,0,0,0,0,0
hiring a marketing agency for project branding and promotional material design.,INV-002,2000-04-26,BrandBuilders Inc.,4031.915048399489,euro ,4031.915048399489,BrandBuilders Inc.,external services,2020-04-26,2000-10-23,,0,0,0,0,0,0,0,2020-10-26,0,0,0,0,0
purchase of specialized software licenses for project data analysis.,INV-003,2022-05-19,DataTech Software,3814.731935278999,euro ,3814.731935278999,DataTech Software,equipment,2022-05-19,2022-07-28,,0,0,0,0,0,0,0,2022-11-19,0,0,0,0,0
renovation of warehouse space for project storage and logistics.,INV-004,2020-06-06,Warehouse Renovations Ltd.,6445.850819430121,euro ,6445.850819430121,Warehouse Renovations Ltd.,infrastructure and building,2020-06-06,2020-08-17,,0,0,0,0,0,0,0,2020-12-06,0,0,0,0,0
payment for patent search and filing services for project innovations.,INV-005,2022-12-10,Patent Lawyers Group,2595.11127121605,euro ,2595.11127121605,Patent Lawyers Group,preparation costs,2022-12-10,2023-03-09,,0,0,0,0,0,0,0,2023-06-10,0,0,0,0,0
meal expenses during project team business trip for stakeholder meetings.,INV-006,2021-04-28,Restaurant Expenses Ltd.,524.5332956909198,euro ,524.5332956909198,Restaurant Expenses Ltd.,travel costs,2021-04-28,2021-09-12,,0,0,0,0,0,0,0,2021-10-28,0,0,0,0,0
hiring a cybersecurity firm for project data protection and encryption services.,INV-007,2021-02-16,CyberSecurity Experts,7374.769127254515,euro ,7374.769127254515,CyberSecurity Experts,external services,2021-02-16,2021-04-08,,0,0,0,0,0,0,0,2021-08-16,0,0,0,0,0
purchase of 3d printers for rapid prototyping of project components.,INV-008,2018-02-01,3D Printing Solutions,8639.17425587773,euro ,8639.17425587773,3D Printing Solutions,equipment,2018-02-01,2018-07-12,,0,0,0,0,0,0,0,2018-08-01,0,0,0,0,0
purchase of solar panels and installation for project renewable energy demonstration.,INV-009,2019-10-09,Solar Solutions,15263.0846367349,euro ,15263.0846367349,Solar Solutions,infrastructure and building,2019-10-09,2020-02-13,,0,0,0,0,0,0,0,2020-04-09,0,0,0,0,0
payment for copyright clearance for project proposal content.,INV-010,2018-09-29,Copyright Clearance Ltd.,1012.205805009335,euro ,1012.205805009335,Copyright Clearance Ltd.,preparation costs,2018-09-29,2018-10-31,,0,0,0,0,0,0,0,2019-03-29,0,0,0,0,0
hotel accommodation expenses for team members during international project conference.,INV-011,2022-11-24,Hotel Accommodation Inc.,2547.306795607525,euro ,2547.306795607525,Hotel Accommodation Inc.,travel costs,2022-11-24,2023-06-02,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2023-05-24,1,0,0,0,0
hiring an engineering consultancy for structural analysis of project designs.,INV-012,2019-02-09,Structural Engineers Ltd.,5926.830551656358,euro ,5926.830551656358,Structural Engineers Ltd.,external services,2019-02-09,2019-06-15,,0,0,0,0,0,0,0,2019-08-09,0,0,0,0,0
purchase of laboratory consumables such as chemicals and glassware.,INV-013,2018-01-29,Lab Supplies Ltd.,2191.969249636782,euro ,2191.969249636782,Lab Supplies Ltd.,equipment,2018-01-29,2018-07-28,,0,0,0,0,0,0,0,2018-07-29,0,0,0,0,0
writing and submitting project proposal for research on renewable energy technologies.,INV-014,2022-04-18,Tech Solutions Ltd.,1529.393156487303,euro ,1529.393156487303,Tech Solutions Ltd.,preparation costs,2022-04-18,2022-09-03,,0,0,0,0,0,0,0,2022-10-18,0,0,0,0,0
plane tickets for attending an international conference on climate change in paris.,INV-015,2021-11-26,Global Airways,1203.629429617473,euro ,1203.629429617473,Global Airways,travel costs,2021-11-26,2021-12-15,,0,0,0,0,0,0,0,2022-05-26,0,0,0,0,0
legal advice for patenting innovative water purification technology.,INV-016,2020-07-17,Law Firm Associates,3197.741543605351,euro ,3197.741543605351,Law Firm Associates,external services,2020-07-17,2020-10-18,,0,0,0,0,0,0,0,2021-01-17,0,0,0,0,0
purchase of laboratory equipment for conducting experiments on new vaccine formulations.,INV-017,2018-11-09,BioTech Supplies,8009.346867775813,euro ,8009.346867775813,BioTech Supplies,equipment,2018-11-09,2018-12-28,,0,0,0,0,0,0,0,2019-05-09,0,0,0,0,0
renovation of laboratory facilities to meet safety standards for biochemical research.,INV-018,2019-11-11,Construction Solutions,5246.204822724106,euro ,5246.204822724106,Construction Solutions,infrastructure and building,2019-11-11,2020-05-13,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-05-11,1,0,0,0,0
time spent drafting project proposal for community outreach program on mental health.,INV-019,2020-10-21,Social Services Agency,863.4130002222607,euro ,863.4130002222607,Social Services Agency,preparation costs,2020-10-21,2020-10-28,,0,0,0,0,0,0,0,2021-04-21,0,0,0,0,0
train tickets for attending a workshop on sustainable agriculture practices.,INV-020,2020-05-18,Eco Solutions Inc.,547.7959756730062,euro ,547.7959756730062,Eco Solutions Inc.,travel costs,2020-05-18,2020-09-25,,0,0,0,0,0,0,0,2020-11-18,0,0,0,0,0
consultation fees for designing a website for an educational campaign on ocean conservation.,INV-021,2021-08-22,Web Design Studio,2544.082741929079,euro ,2544.082741929079,Web Design Studio,external services,2021-08-22,2021-12-02,,0,0,0,0,0,0,0,2022-02-22,0,0,0,0,0
purchase of cameras and filming equipment for documenting wildlife conservation efforts.,INV-022,2021-02-07,NatureTech Store,3508.026461646359,euro ,3508.026461646359,NatureTech Store,equipment,2021-02-07,2021-02-18,,0,0,0,0,0,0,0,2021-08-07,0,0,0,0,0
construction of a greenhouse for studying plant genetics and adaptation to climate change.,INV-023,2019-10-06,Greenhouse Builders Inc.,10994.87888345419,euro ,10994.87888345419,Greenhouse Builders Inc.,infrastructure and building,2019-10-06,2020-01-07,,0,0,0,0,0,0,0,2020-04-06,0,0,0,0,0
cost of developing project proposal for a study on urban transportation optimization.,INV-024,2020-03-24,Urban Planning Consultants,1268.795926486423,euro ,1268.795926486423,Urban Planning Consultants,preparation costs,2020-03-24,2020-09-23,,0,0,0,0,0,0,0,2020-09-24,0,0,0,0,0
car rental and fuel expenses for site visits to assess air quality in industrial areas.,INV-025,2020-01-23,Auto Rentals Ltd.,709.9887413213163,euro ,709.9887413213163,Auto Rentals Ltd.,travel costs,2020-01-23,2020-08-07,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-07-23,1,0,0,0,0
hiring an environmental consulting firm to conduct impact assessments for a new dam project.,,2019-08-20,EnviroImpact Consultancy,4670.786680966614,euro ,4670.786680966614,EnviroImpact Consultancy,external services,2019-08-20,2019-11-21,,0,0,0,0,0,0,0,2020-02-20,0,0,0,0,0
